company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
AnaVation,Computer Science Internship Summer 2027,Summer 2027,False,,Internship,,Software,"Chantilly, VA",citizens-only,,,Python; Java; Node.js; AWS; GCP; Azure; Git,2026-09-12T16:18:46Z,exact,2026-09-12T17:00:24Z,https://jobs.lever.co/anavationllc/4a82ae00-30f0-410c-bf3c-f1cdd18739e7
Kulicke & Soffa,"Intern, Software Engineering",Not stated,True,,Internship,,Software,"Fort Washington, PA, United States",unknown,17,,Python; C++; MATLAB,2026-09-12,date_only,2026-09-12T04:33:48Z,https://etyy.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/11648
Kulicke & Soffa,"Intern, Software Engineering",Not stated,True,,Internship,,Software,"Fort Washington, PA, United States",unknown,17,,C++,2026-09-12,date_only,2026-09-12T04:33:48Z,https://etyy.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/11649
Commure,"Software Engineering Intern, Summer 2027",Summer 2027,False,,Internship,,Software,"Mountain View, CA",unknown,11,$40 – $60 per hour,Python; TypeScript; Swift; Kotlin; LLMs; React; Kubernetes; PostgreSQL,2026-09-11T17:55:47.323+00:00,exact,2026-09-11T18:25:45Z,https://jobs.ashbyhq.com/commure/62841aa1-3ee5-4547-8380-637b737b2cb3
ibotta,Software Engineer Intern,Summer 2027,False,,Internship,,Software,"Denver, CO",unknown,10,$33.85/hr,Python; Java; TypeScript; JavaScript; AWS,2026-09-11T21:07:58.418+00:00,exact,2026-09-11T21:42:15Z,https://jobs.ashbyhq.com/ibotta/3130669e-16aa-4f63-834d-b83571c8d269
MegazoneCloud,Software Engineer Co-op 2027,Summer 2027,False,,Co-op,,Software,"Rochester, NY",no-sponsorship,,$27 – $28 per hour,Python; Java; JavaScript; LLMs; AWS; Azure,2026-09-11T15:30:58.836+00:00,exact,2026-09-12T13:36:56Z,https://jobs.ashbyhq.com/megazone/e2889469-cf20-4227-bf24-2a6e885f8dca
MegazoneCloud,Data Engineer Co-op 2027,Summer 2027,False,,Co-op,,Data & ML/AI,"Rochester, NY",no-sponsorship,,$27 – $29 per hour,Python; SQL; LLMs; AWS; Git,2026-09-11T15:55:19.218+00:00,exact,2026-09-12T13:36:56Z,https://jobs.ashbyhq.com/megazone/fde09888-986f-4207-88fe-3ff5b921a1fa
Businessolver,Business Intelligence Analyst Internship (Innovation & Data Science),Not stated,True,,Internship,,Data & ML/AI,United States,unknown,4,$23/hr,Python; SQL; AWS,2026-09-11T17:00:00-04:00,exact,2026-09-11T21:42:15Z,https://job-boards.greenhouse.io/businessolverinvitationonly/jobs/8189738
DV Trading,Software Developer Intern - Summer 2027 (DV Equities),Summer 2027,False,,Internship,,Software,New York,unknown,,,Python; C++; Linux,2026-09-11T10:48:29-04:00,exact,2026-09-11T18:25:45Z,https://job-boards.greenhouse.io/dvtrading/jobs/4733138005
Klaviyo,Software Engineer Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Boston, MA",no-sponsorship,28,,Python; TypeScript; React; Django; AWS; Terraform; Kafka; Redis,2026-09-11T15:57:55-04:00,exact,2026-09-12T13:36:56Z,https://job-boards.greenhouse.io/klaviyocampus/jobs/7989364003
Lyft,"Data Science Intern, Algorithms (Summer 2027)",Summer 2027,False,,Internship,,Data & ML/AI,"San Francisco, CA",unknown,348,$58–$62/hr,Python; SQL; PyTorch; TensorFlow; scikit-learn,2026-09-11T12:47:05-04:00,exact,2026-09-11T18:25:45Z,https://app.careerpuck.com/job-board/lyft/job/8767723002?gh_jid=8767723002
Lyft,"Software Engineer Intern, Backend (Summer 2027)",Summer 2027,False,,Internship,,Software,"San Francisco, CA",unknown,348,$52–$58/hr,,2026-09-11T12:46:45-04:00,exact,2026-09-11T18:25:45Z,https://app.careerpuck.com/job-board/lyft/job/8767726002?gh_jid=8767726002
Lyft,"Data Science Intern, Algorithms (Summer 2027)",Summer 2027,False,,Internship,,Data & ML/AI,"New York, NY",unknown,348,$58–$62/hr,Python; SQL; PyTorch; TensorFlow; scikit-learn,2026-09-11T12:47:07-04:00,exact,2026-09-11T18:25:45Z,https://app.careerpuck.com/job-board/lyft/job/8796124002?gh_jid=8796124002
Lyft,"Software Engineer Intern, Fullstack (Summer 2027)",Summer 2027,False,,Internship,,Software,"New York, NY",unknown,348,$52–$58/hr,Python; TypeScript; JavaScript; React; Linux; Git,2026-09-11T12:47:31-04:00,exact,2026-09-11T18:25:45Z,https://app.careerpuck.com/job-board/lyft/job/8797837002?gh_jid=8797837002
Lyft,Data Analyst Intern (Summer 2027),Summer 2027,False,,Internship,,Data & ML/AI,"New York, NY",unknown,348,$45–$47/hr,SQL,2026-09-11T15:20:57-04:00,exact,2026-09-11T21:42:15Z,https://app.careerpuck.com/job-board/lyft/job/8802198002?gh_jid=8802198002
NewsBreak,Nearby AI Internship Program - Engineering Track,Not stated,True,,Internship,,Data & ML/AI,"Mountain View, California, United States",unknown,,,Python; Java; LLMs; Git; PostgreSQL; MongoDB,2026-09-11T18:37:28-04:00,exact,2026-09-12T00:09:29Z,https://job-boards.greenhouse.io/newsbreak/jobs/4712896006
Rocket Lab,Structural Analysis Intern Summer 2027,Summer 2027,False,,Internship,,Hardware,"Long Beach, CA",citizens-only,,,,2026-09-11T09:37:27-04:00,exact,2026-09-11T14:19:51Z,https://job-boards.greenhouse.io/rocketlab/jobs/7986690003
Xcimer Energy,Summer 2027 Internship - Mechanical Engineering,Summer 2027,False,,Internship,,Hardware,"Denver, CO",citizens-only,,25–35 USD/hr,,2026-09-11T20:07:58Z,exact,2026-09-12T13:36:56Z,https://jobs.lever.co/xcimer/c672a37e-007d-45ee-a4f9-b5d4dd25a2e3
Xcimer Energy,Summer 2027 Internship - Computational and Software Engineering,Summer 2027,False,,Internship,,Software,"Denver, CO",citizens-only,,25–35 USD/hr,,2026-09-11T14:54:24Z,exact,2026-09-12T13:36:56Z,https://jobs.lever.co/xcimer/fee9965c-8040-4614-8fd1-10bddfe3b911
WSP,Mechanical Engineering (Thermal Generation) Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"Boise, ID, United States",unknown,,,,2026-09-11,date_only,2026-09-11T18:25:45Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94815
WSP,Structural Engineering Intern- Summer 2027,Summer 2027,False,,Internship,,Hardware,"Philadelphia, PA, United States",unknown,,,,2026-09-11,date_only,2026-09-11T14:19:51Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94841
WSP,Civil/Structural Engineering (Transmission Lines) Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"Overland Park, KS, United States",unknown,,,,2026-09-11,date_only,2026-09-11T14:19:51Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94927
WSP,Mechanical Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"York, PA, United States",unknown,,,,2026-09-11,date_only,2026-09-12T00:09:29Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94965
WSP,Mechanical Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"Hamilton, NJ, United States",unknown,,,,2026-09-11,date_only,2026-09-12T00:09:29Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94976
WSP,Structural Engineering Intern- Summer 2027,Summer 2027,False,,Internship,,Hardware,"Lawrenceville, NJ, United States",unknown,,,,2026-09-11,date_only,2026-09-11T21:42:15Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/95114
Citizens Financial Group,Data Science Undergraduate 2027 Summer Intern,Summer 2027,False,,Internship,,Data & ML/AI,United States,unknown,290,,Python; SQL; Pandas; Computer Vision; AWS; GCP; Azure,2026-09-11,date_only,2026-09-11T14:19:51Z,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49276
Citizens Financial Group,Data Science Graduate 2027 Summer Intern,Summer 2027,False,,Internship,,Data & ML/AI,United States,unknown,290,,Python; SQL; Pandas; Computer Vision; AWS; GCP; Azure,2026-09-11,date_only,2026-09-11T14:19:51Z,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49280
Citizens Financial Group,Data Engineer Summer 2027 Intern | Enterprise Technology & Security Summer Internship Program,Summer 2027,False,,Internship,,Data & ML/AI,United States,unknown,290,,Python; Java; SQL; LLMs; Django; AWS; Spark; Kafka,2026-09-11,date_only,2026-09-11T14:19:51Z,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49285
Citizens Financial Group,Software Engineer Summer 2027 Intern | Enterprise Technology & Security Summer Internship Program,Summer 2027,False,,Internship,,Security,United States,unknown,290,,Python; Java; C++; JavaScript; Swift; React; Node.js; AWS,2026-09-11,date_only,2026-09-11T14:19:51Z,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49286
Emerson Electric,Software Product Management Intern,Not stated,True,,Internship,,Software,"Austin, TX, United States",unknown,8,,,2026-09-11,date_only,2026-09-11T18:25:45Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26010799
Fortune Brands,"Product Management Intern, B2B Security",Not stated,True,,Internship,,Security,"Deerfield, ILLINOIS, United States",unknown,7,,Tableau,2026-09-11T15:45:08.759Z,exact,2026-09-12T13:36:56Z,https://jobs.smartrecruiters.com/FortuneBrands/744000149058098
Allegion,Summer Intern - Advanced Manufacturing Engineering,Not stated,True,,Internship,,Hardware,"Carmel, IN",unknown,,,,2026-09-11T00:00:00Z,date_only,2026-09-12T00:09:29Z,https://allegion.wd5.myworkdayjobs.com/careers/job/Carmel-IN/Summer-Intern---Advanced-Manufacturing-Engineering_JR37416-1
Allegion,Summer Intern - Advanced Manufacturing Engineering,Not stated,True,,Internship,,Hardware,"Carmel, IN",unknown,,,,2026-09-11T00:00:00Z,date_only,2026-09-12T00:09:29Z,https://allegion.wd5.myworkdayjobs.com/careers/job/Carmel-IN/Summer-Intern---Advanced-Manufacturing-Engineering_JR37418-1
Amgen,Grad Intern – Data Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$35.34–$41.2/hr,Python; Java; SQL; Scala; AWS,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255725
Amgen,Grad Intern – Data Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$35.34–$41.2/hr,Python; Java; SQL; Scala; AWS,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255742
Amgen,Grad Intern – Data Scientist – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$35.34–$41.2/hr,Python; Java; SQL; Scala,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Scientist---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255722
Amgen,Grad Intern – Machine Learning Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$35.34–$41.2/hr,Python; SQL; scikit-learn; Pandas; AWS; GCP; Azure; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Machine-Learning-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255743
Amgen,Grad Intern – Software Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Software,United States - Remote,unknown,768,$35.34–$41.2/hr,Python; Java; SQL; Scala,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Software-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255745
Amgen,Undergrad Intern – Data Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$28.87/hr,Python; Java; SQL; Scala; AWS,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255708
Amgen,Undergrad Intern – Data Scientist – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$28.87/hr,Python; Java; SQL; Scala,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Data-Scientist---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255704
Amgen,Undergrad Intern – Machine Learning Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Data & ML/AI,United States - Remote,unknown,768,$28.87/hr,Python; SQL; scikit-learn; Pandas; AWS; GCP; Azure; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Machine-Learning-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255709
Amgen,Undergrad Intern – Software Engineer – Amgen’s Technology & Medical Organizations (Summer 2027),Summer 2027,False,,Internship,yes,Software,United States - Remote,unknown,768,$28.87/hr,Python; Java; SQL; Scala,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Software-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255719
Booz Allen,"University - Summer 2027, Software Engineer Intern",Summer 2027,False,,Internship,,Software,"Fayetteville, NC",citizens-only,38,$108k/yr,Java; C++; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/Fayetteville-NC/University---Summer-2027--Software-Engineer-Intern_R0249225
Blue Origin,Summer 2027 Marine Mechanical & Test Engineering Internship - Undergraduate,Summer 2027,False,,Internship,,Hardware,"Space Coast, FL",citizens-only,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Space-Coast-FL/Summer-2027-Marine-Mechanical---Test-Engineering-Internship---Undergraduate_R72238
Corteva,Agentic AI Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,"Indianapolis, Indiana, United States",unknown,63,,Python; LLMs; AWS; Azure; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://corteva.wd5.myworkdayjobs.com/corteva/job/Indianapolis-Indiana-United-States/Agentic-AI-Engineer-Intern_248210W
Corteva,Data Science Summer Intern,Not stated,True,,Internship,,Data & ML/AI,"Indianapolis, Indiana, United States",unknown,63,,Python; AWS; GCP; Azure,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://corteva.wd5.myworkdayjobs.com/corteva/job/Indianapolis-Indiana-United-States/Data-Science-Summer-Intern_248208W
Crowe,MSFT AI Business Solutions Technical Intern,Not stated,True,,Internship,,Data & ML/AI,Chicago IL USA,unknown,37,$27–$42/hr,Azure,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://crowe.wd12.myworkdayjobs.com/external_careers/job/Chicago-IL-USA/D365-ERP-Technical-Intern_R-71039
DigiKey,Product Management & Supplier Development Intern,Not stated,True,,Internship,,Software,"Thief River Falls, MN",no-sponsorship,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://digikey.wd5.myworkdayjobs.com/digi-key/job/Thief-River-Falls-MN/Product-Management---Supplier-Development-Intern_R5829
Direct Supply,AI Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,"Milwaukee, WI",unknown,11,,Python; React; Node.js; AWS,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://directsupply.wd501.myworkdayjobs.com/direct-supply-careers/job/Milwaukee-WI/AI-Engineer-Intern_REQ-2026-2553
Direct Supply,Software Engineer Intern,Not stated,True,,Internship,,Software,"Milwaukee, WI",unknown,11,,Python; C#; JavaScript; SQL,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://directsupply.wd501.myworkdayjobs.com/direct-supply-careers/job/Milwaukee-WI/Software-Engineer-Intern_REQ-2026-2559
EMC Insurance,Intern- Data Science,Summer 2027,False,,Internship,,Data & ML/AI,Iowa,unknown,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://emcins.wd5.myworkdayjobs.com/EMC_Careers/job/Iowa/Intern--Data-Science_R6524
Fidelity Investments,"Co-op, Software Engineer",Not stated,True,,Co-op,,Software,"Boston, MA",unknown,2354,$20–$32/hr,Python; C#; JavaScript,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Software-Engineer_2135200
