company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Hermeus,Software Engineering Intern (Command & Control) - Spring/Summer 2027,Summer 2027,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,C++; TypeScript; JavaScript; React; Angular,2026-09-03T02:07:59Z,exact,2026-09-03T04:00:34Z,https://jobs.lever.co/hermeus/5b08e2df-c9db-4831-aece-67d89e744796
InfiniteQuant,Quantitative Developer - Internship - Summer 2027,Summer 2027,False,,Internship,yes,Quant,"New York, New York, United States (Remote)",unknown,,,Python; C++,2026-09-03T07:07:53.041Z,exact,2026-09-03T08:56:35Z,https://jobs.smartrecruiters.com/InfiniteQuant/744000147163879
Momentive,Summer 2027 Intern - Enterprise Reporting & Analytics - Data Science,Summer 2027,False,,Internship,,Data & ML/AI,US NY Niskayuna,unknown,44,,Python; SQL; LLMs; Tableau,2026-09-03T00:00:00Z,date_only,2026-09-03T08:56:35Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-NY-Niskayuna/Summer-2027-Intern---Enterprise-Reporting---Analytics---Data-Science_R9807-1
Momentive,Summer 2027 Intern - Software Development,Summer 2027,False,,Internship,,Software,US NY Niskayuna,unknown,44,,Java; SQL; Git,2026-09-03T00:00:00Z,date_only,2026-09-03T08:56:35Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-NY-Niskayuna/Summer-2027-Intern---Software-Development_R9756
Eurofins,AI & Automation Intern,Fall 2026,False,,Internship,,Data & ML/AI,"Barcelona, CT, ES",unknown,,,Python; SQL,2026-09-03T10:31:16.848Z,exact,2026-09-03T13:35:54Z,https://jobs.smartrecruiters.com/Eurofins/744000147214369
WSP,Civil/Structural Engineering (Overhead Transmission Lines) Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"Houston, TX, United States",unknown,,,,2026-09-03,date_only,2026-09-03T13:35:54Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94540
Hadrian,Robotics Engineer Intern,Not stated,True,,Internship,,Hardware,"Los Angeles, CA",citizens-only,,,Python; C++,2026-09-02T21:47:12.152+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/hadrian-automation/02e33109-08c5-4db7-8881-67294c172584
Hadrian,Software Engineer Intern,Not stated,True,,Internship,,Software,"Los Angeles, CA",citizens-only,,,Python; TypeScript,2026-09-02T21:46:58.459+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/hadrian-automation/2b0423c6-947d-4226-8d23-90743bd5e63e
Hadrian,Data Science/ Data Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,"Los Angeles, CA",citizens-only,,,Python; SQL,2026-09-02T21:47:29.454+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/hadrian-automation/f718bcfe-3f5b-4682-a294-697499caf813
Reflect Orbital,Flight Software Engineering Intern,Not stated,True,,Internship,,Software,"Hawthorne, CA",unknown,,$27 – $31 per hour,,2026-09-02T21:57:24.003+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/reflect-orbital/d2ad1427-89aa-404d-8678-7b8e6dace5e2
Reflect Orbital,Embedded Firmware Engineering Intern,Not stated,True,,Internship,,Hardware,"Hawthorne, CA",unknown,,$27 – $31 per hour,Python; C++,2026-09-02T21:57:26.937+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/reflect-orbital/d5ade048-5555-4a77-b002-d117254b6e6b
Reflect Orbital,Thermal Engineering Intern,Not stated,True,,Internship,,Hardware,"Hawthorne, CA",unknown,,$27 – $31 per hour,,2026-09-02T21:57:10.160+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/reflect-orbital/e27b6a4f-3556-45ed-bcca-0d56e302ba07
Reflect Orbital,Mechanical Engineering Intern,Not stated,True,,Internship,,Hardware,"Hawthorne, CA",unknown,,$27 – $31 per hour,,2026-09-02T21:57:12.373+00:00,exact,2026-09-02T23:18:47Z,https://jobs.ashbyhq.com/reflect-orbital/ed0c926a-9a52-4c84-8488-2552b1f0cca6
